ID,Station Name,Status,Available Bikes,Available Docks,Time Added
5,State St & Harrison St,In Service,6,13,2013-08-16 21:39:01.0
13,Wilton Ave & Diversey Pkwy,In Service,6,13,2013-08-16 21:39:01.0
14,Morgan St & 18th St,In Service,3,12,2013-08-16 21:39:01.0
15,Racine Ave & 18th St,In Service,7,8,2013-08-16 21:39:01.0
16,Wood St & North Ave,In Service,2,9,2013-08-16 21:39:01.0
17,Wood St & Division St,In Service,3,12,2013-08-16 21:39:01.0
19,Loomis St & Taylor St,In Service,4,10,2013-08-16 21:39:01.0
20,Sheffield Ave & Kingsbury St,In Service,5,10,2013-08-16 21:39:01.0
21,Aberdeen St & Jackson Blvd,In Service,9,6,2013-08-16 21:39:01.0
22,May St & Taylor St,In Service,6,9,2013-08-16 21:39:01.0
23,Orleans St & Elm St,In Service,7,8,2013-08-16 21:39:01.0
24,Fairbanks Ct & Grand Ave,In Service,4,11,2013-08-16 21:39:01.0
25,Michigan Ave & Pearson St,In Service,13,10,2013-08-16 21:39:01.0
26,McClurg Ct & Illinois St,In Service,17,14,2013-08-16 21:39:01.0
27,Larrabee St & North Ave,In Service,6,13,2013-08-16 21:39:01.0
28,Larrabee St & Menomonee St,In Service,2,13,2013-08-16 21:39:01.0
29,Noble St & Milwaukee Ave,In Service,7,8,2013-08-16 21:39:01.0
30,Ashland Ave & Augusta Blvd,In Service,7,8,2013-08-16 21:39:01.0
31,Franklin St & Chicago Ave,In Service,13,10,2013-08-16 21:39:01.0
32,Racine Ave & Congress Pkwy,In Service,7,12,2013-08-16 21:39:01.0
33,State St & Van Buren St,In Service,14,12,2013-08-16 21:39:01.0
34,Cannon Dr & Fullerton Ave,In Service,4,11,2013-08-16 21:39:01.0
35,Streeter Dr & Illinois St,In Service,18,21,2013-08-16 21:39:01.0
36,Franklin St & Jackson Blvd,In Service,11,20,2013-08-16 21:39:01.0
37,Dearborn St & Adams St,In Service,6,13,2013-08-16 21:39:01.0
42,Wabash Ave & Cermak Rd,In Service,3,12,2013-08-16 21:39:01.0
43,Michigan Ave & Washington St,In Service,32,11,2013-08-16 21:39:01.0
44,State St & Randolph St,In Service,6,20,2013-08-16 21:39:01.0
45,Michigan Ave & Congress Pkwy,In Service,1,14,2013-08-16 21:39:01.0
46,Wells St & Walton St,In Service,3,16,2013-08-16 21:39:01.0
47,State St & Kinzie St,In Service,5,14,2013-08-16 21:39:01.0
48,Larrabee St & Kingsbury St,In Service,14,12,2013-08-16 21:39:01.0
49,Dearborn St & Monroe St,In Service,6,17,2013-08-16 21:39:01.0
50,Clark St & Congress Pkwy,In Service,11,16,2013-08-16 21:39:01.0
51,Clark St & Randolph St,In Service,14,17,2013-08-16 21:39:01.0
52,Michigan Ave & Lake St,In Service,12,11,2013-08-16 21:39:01.0
53,Wells St & Erie St,In Service,0,18,2013-08-16 21:39:01.0
54,Ogden Ave & Chicago Ave,In Service,10,9,2013-08-16 21:39:01.0
55,Halsted St & James M Rochford St,In Service,7,8,2013-08-16 21:39:01.0
56,Desplaines St & Kinzie St,In Service,4,15,2013-08-16 21:39:01.0
57,Clinton St & Roosevelt Rd,In Service,7,8,2013-08-16 21:39:01.0
58,Ashland Ave & Armitage Ave,In Service,2,13,2013-08-16 21:39:01.0
59,Wabash Ave & Roosevelt Rd,In Service,6,13,2013-08-16 21:39:01.0
60,Dayton St & North Ave,In Service,12,7,2013-08-16 21:39:01.0
61,Wood St & Milwaukee Ave,In Service,5,10,2013-08-16 21:39:01.0
62,McCormick Place,In Service,5,22,2013-08-16 21:39:01.0
66,Clinton St & Lake St,In Service,7,12,2013-08-16 21:39:01.0
67,Sheffield Ave & Fullerton Ave,In Service,2,13,2013-08-16 21:39:01.0
68,Clinton St & Tilden St,In Service,7,16,2013-08-16 21:39:01.0
69,Damen Ave & Pierce Ave,In Service,8,11,2013-08-16 21:39:01.0
71,Morgan St & Lake St,In Service,3,12,2013-08-16 21:39:01.0
72,State St & 16th St,In Service,9,6,2013-08-16 21:39:01.0
73,Jefferson St & Monroe St,In Service,9,10,2013-08-16 21:39:01.0
74,Kingsbury St & Erie St,In Service,16,7,2013-08-16 21:39:01.0
75,Canal St & Jackson Blvd,In Service,11,23,2013-08-16 21:39:01.0
76,Lake Shore Dr & Monroe St,In Service,5,5,2013-08-16 21:39:01.0
77,Clinton St & Madison St,In Service,9,14,2013-08-16 21:39:01.0
80,Aberdeen St & Madison St,In Service,9,10,2013-08-16 21:39:01.0
81,Daley Center Plaza,In Service,23,24,2013-08-16 21:39:01.0
84,Green St & Milwaukee Ave,In Service,8,11,2013-08-16 21:39:01.0
85,Michigan Ave & Oak St,In Service,7,8,2013-08-16 21:39:01.0
86,Eckhart Park,In Service,6,9,2013-08-16 21:39:01.0
87,Racine Ave & Fullerton Ave,In Service,7,12,2013-08-16 21:39:01.0
88,May St & Randolph St,In Service,4,11,2013-08-16 21:39:01.0
90,Millennium Park,In Service,12,23,2013-08-16 21:39:01.0
91,Clinton St & Washington Blvd,In Service,28,3,2013-08-16 21:39:01.0
92,Carpenter St & Huron St,In Service,7,12,2013-08-16 21:39:01.0
93,Sheffield Ave & Willow St,In Service,5,10,2013-08-16 21:39:01.0
94,Lincoln Ave & Armitage Ave,In Service,8,11,2013-08-16 21:39:01.0
97,Museum Campus,In Service,8,23,2013-08-16 21:39:01.0
98,LaSalle St & Washington St,In Service,8,7,2013-08-16 21:39:01.0
99,Lake Shore Dr & Ohio St,In Service,4,15,2013-08-16 21:39:01.0
100,Orleans St & Merchandise Mart Plaza,In Service,12,11,2013-08-16 21:39:01.0
106,State St & Pearson St,In Service,10,17,2013-08-16 21:39:01.0
108,Halsted St & Polk St,In Service,9,10,2013-08-16 21:39:01.0
109,900 W Harrison,In Service,5,14,2013-08-16 21:39:01.0
110,State St & Erie St,In Service,11,12,2013-08-16 21:39:01.0
111,Sedgwick St & Huron St,In Service,10,9,2013-08-16 21:39:01.0
112,Green St & Randolph St,In Service,9,6,2013-08-16 21:39:01.0
